xi,f,Manning,Recking,Keulegan,Ferguson
5.999999999999999778e-01,3.127785318990875041e+01,1.743751594712618647e-01,3.496914494286977426e+00,1.114736718056805964e+00,2.658514039827013509e+00
6.660320103448510443e-01,2.187814131346582869e+01,1.684108238729004059e-01,2.544187560064013809e+00,9.260028893227232327e-01,2.186777783772565709e+00
7.393310646733395330e-01,1.465701722081147018e+01,1.626504926707943721e-01,1.933735371779121692e+00,7.814372148878416802e-01,1.802951357222878137e+00
8.206969255246391315e-01,9.438996529820839143e+00,1.570871880896316797e-01,1.519272978949825159e+00,6.682606377105666517e-01,1.490501242257823877e+00
9.110173719850230833e-01,5.907395046278233863e+00,1.517141710222327800e-01,1.225069915947475607e+00,5.780024159695399399e-01,1.236008617385231600e+00
1.011277886203779897e+00,3.700157498193386463e+00,1.465249328661355765e-01,1.000158624260648610e+00,5.048677568451271913e-01,1.028582414136075540e+00
1.122572405942658502e+00,2.386361081785736804e+00,1.415131876394019328e-01,7.807411441264132668e-01,4.447839604964188842e-01,8.593829851150038834e-01
1.246115260479408349e+00,1.607653105851587716e+00,1.366728643660953812e-01,6.263389999414835652e-01,3.948208982651265631e-01,7.212355382043971197e-01
1.383254420097496773e+00,1.134630124096654091e+00,1.319980997222065522e-01,5.135903433595239154e-01,3.528268830551651858e-01,6.083164200321121706e-01
1.535486203726561527e+00,8.362581487765520238e-01,1.274832309331175306e-01,4.287563249320715530e-01,3.171930710408397136e-01,5.158985198939001204e-01
1.704471605207975360e+00,6.401740220389604552e-01,1.231227889140016074e-01,3.633285919109374706e-01,2.866970424872417600e-01,4.401446525907625196e-01
1.892054416320638532e+00,5.061542049657123954e-01,1.189114916448492931e-01,3.118097054841676430e-01,2.603965481515105873e-01,3.779398783254855898e-01
2.100281344306481834e+00,4.112497059770691687e-01,1.148442377720950008e-01,2.705194832498122870e-01,2.375558424362136101e-01,3.267554217894732549e-01
2.331424343397053622e+00,3.419117393577152941e-01,1.109161004290941249e-01,2.369190504491815175e-01,2.175936625969727700e-01,2.845382354320666884e-01
2.588005403999440013e+00,2.898487738650999401e-01,1.071223212679647679e-01,2.092110226848206966e-01,2.000458787293722396e-01,2.496213741577780476e-01
2.872824070015142173e+00,2.498092319336217837e-01,1.034583046955645375e-01,1.860940417297568261e-01,1.845382697432380592e-01,2.206512594552530460e-01
3.188987984532103859e+00,2.183605082796901409e-01,9.991961230662035898e-02,1.666071361878101176e-01,1.707664052095285712e-01,1.965286500827136684e-01
3.539946797172486281e+00,1.931946864030832378e-01,9.650195750726767163e-02,1.500282143118006339e-01,1.584805897953610876e-01,1.763607362641278486e-01
3.929529803057679516e+00,1.727196925915722159e-01,9.320120032248629949e-02,1.358061941607218714e-01,1.474744649922698214e-01,1.594222611386858501e-01
4.361987724067521555e+00,1.558124871684760104e-01,9.001334238114325204e-02,1.235146098490059879e-01,1.375762869356532969e-01,1.451239682565435563e-01
4.842039088267087621e+00,1.416643887971551219e-01,8.693452207256695263e-02,1.128192644198515865e-01,1.286421856277001063e-01,1.329869945147622301e-01
5.374921713544798862e+00,1.296822199670732423e-01,8.396100986878653194e-02,1.034552710642057116e-01,1.205509073599480979e-01,1.226220881093390419e-01
5.966449857197389406e+00,1.194247279534827177e-01,8.108920380676935824e-02,9.521049294083036574e-02,1.131996787536368593e-01,1.137127422284704981e-01
6.623077655018211551e+00,1.105564738552023279e-01,7.831562512518421004e-02,8.791342182806441419e-02,1.065009270632604893e-01,1.060015065692215958e-01
7.351969542069736185e+00,1.028210970691511988e-01,7.563691405040495752e-02,8.252169993450590713e-02,1.003796599808378931e-01,9.927887782364230862e-02
