xi,xi_z,(8/f)^0.5
18.640,93.200,13.594
21.280,106.400,13.949
3.440,17.200,9.107
4.000,20.000,9.536
4.720,23.600,10.013
5.360,26.800,10.286
6.640,33.200,10.893
7.920,39.600,11.401
9.280,46.400,11.867
10.560,52.800,12.300
11.920,59.600,12.614
13.280,66.400,12.833
14.560,72.800,13.093
15.920,79.600,13.322
2.480,12.400,8.188
3.120,15.600,9.092
3.920,19.600,9.556
4.560,22.800,9.982
5.200,26.000,10.297
6.560,32.800,10.859
7.920,39.600,11.506
9.200,46.000,11.928
10.560,52.800,12.310
11.920,59.600,12.666
13.280,66.400,12.942
14.640,73.200,13.177
15.920,79.600,13.362
4.800,24.000,8.071
5.360,26.800,8.495
6.080,30.400,8.936
6.720,33.600,9.229
7.440,37.200,9.458
8.080,40.400,9.795
8.800,44.000,9.826
9.360,46.800,10.158
10.080,50.400,10.433
10.800,54.000,10.439
11.520,57.600,10.716
12.000,60.000,10.591
12.640,63.200,10.956
13.440,67.200,10.889
14.000,70.000,10.991
14.720,73.600,11.114
15.440,77.200,11.376
16.000,80.000,11.230
4.080,20.400,7.570
4.720,23.600,8.040
5.360,26.800,8.495
6.080,30.400,8.894
6.800,34.000,9.202
7.440,37.200,9.386
8.080,40.400,9.632
8.800,44.000,9.763
9.440,47.200,10.163
10.080,50.400,10.168
10.800,54.000,10.313
11.520,57.600,10.465
12.160,60.800,10.763
12.800,64.000,10.628
13.440,67.200,10.877
3.440,17.200,7.321
4.080,20.400,7.574
4.720,23.600,8.080
5.440,27.200,8.439
6.080,30.400,8.785
6.800,34.000,9.106
7.440,37.200,9.417
8.160,40.800,9.607
8.880,44.400,9.745
9.440,47.200,10.018
10.160,50.800,10.084
10.720,53.600,10.292
11.520,57.600,10.484
12.080,60.400,10.529
4.080,20.400,8.081
4.800,24.000,8.630
5.360,26.800,9.065
6.080,30.400,9.153
6.640,33.200,9.402
7.360,36.800,9.753
8.080,40.400,9.834
8.720,43.600,9.979
9.280,46.400,10.103
10.080,50.400,10.314
10.720,53.600,10.592
11.440,57.200,10.454
12.080,60.400,10.731
12.800,64.000,10.891
13.440,67.200,11.090
14.080,70.400,11.203
14.720,73.600,11.148
15.360,76.800,11.235
15.920,79.600,11.270
3.440,17.200,7.623
4.160,20.800,8.270
4.720,23.600,8.533
5.360,26.800,8.823
6.080,30.400,9.129
6.800,34.000,9.295
7.440,37.200,9.741
8.160,40.800,9.881
8.720,43.600,10.079
9.440,47.200,10.321
10.080,50.400,10.408
10.800,54.000,10.545
11.520,57.600,10.658
12.160,60.800,10.920
12.800,64.000,10.833
13.440,67.200,10.878
2.800,14.000,6.885
3.520,17.600,7.344
4.080,20.400,8.078
4.800,24.000,8.418
5.520,27.600,8.649
6.160,30.800,9.024
6.800,34.000,9.168
7.520,37.600,9.566
8.160,40.800,9.744
8.800,44.000,10.021
9.440,47.200,9.988
10.160,50.800,10.251
10.800,54.000,10.336
11.520,57.600,10.526
12.000,60.000,10.660
3.920,19.600,9.451
4.640,23.200,9.978
5.280,26.400,10.179
6.080,30.400,10.723
6.560,32.800,10.787
7.440,37.200,11.179
8.000,40.000,11.399
8.720,43.600,11.582
9.360,46.800,11.677
10.000,50.000,11.864
10.720,53.600,11.864
11.360,56.800,11.968
11.920,59.600,12.095
12.720,63.600,12.300
13.360,66.800,12.397
14.000,70.000,12.420
14.560,72.800,12.497
15.200,76.000,12.491
3.360,16.800,8.936
4.000,20.000,9.377
4.640,23.200,9.875
5.360,26.800,10.237
6.000,30.000,10.472
6.640,33.200,10.786
7.360,36.800,11.046
8.000,40.000,11.295
8.720,43.600,11.488
9.280,46.400,11.767
10.080,50.400,11.760
10.720,53.600,11.908
11.440,57.200,12.071
12.080,60.400,11.994
12.560,62.800,12.165
2.560,12.800,8.177
3.360,16.800,9.173
4.000,20.000,9.642
4.720,23.600,10.005
5.360,26.800,10.490
6.080,30.400,10.790
6.720,33.600,10.897
7.200,36.000,11.150
8.080,40.400,11.422
8.720,43.600,11.421
9.360,46.800,11.558
2.385,39.742,7.313
2.729,45.477,8.152
2.986,49.761,7.244
