Planar_x,Planar_y,Alternate_bar_x,Alternate_bar_y,No_transport_x,No_transport_y,Planar_bed_x,Planar_bed_y,armfield_x,armfield_y,Lochsa_f_x,Lochsa_f_y,Rivers_f_x,Rivers_f_y,Steep_alternate_bar_x,Steep_alternate_bar_y,Incipient_motion_x,Incipient_motion_y,xi,strickler,recking,keulegan
3.5197443218146347,2.0079262336258688,3.734799110514786,5.490416930906502,0.6880602418827882,1.0699397669590576,7.854719082692814,0.09596152317269742,2.6532472510148177,0.4342093696161034,8.482035805073751,1.602665544885145,3.7754405036956884,0.11957738672547141,2.613346877979515,1.3961450922840888,2.007302271617639,1.5762733194254495,0.006666666666666667,0.9217018736932496,79392004.7985972,0.1644717053217444
4.1392001328562165,1.6555980133941282,4.1166271603902835,4.464278273744901,0.6880602418827882,0.7372486356182334,8.170274777004847,0.11098082546617397,5.543646423061719,0.1835250142722,7.537036854689557,2.791921092355349,3.6859163882771315,0.12730856151153222,2.9456613105573095,1.0378909354430106,1.6972744709386964,2.8405392377727106,0.007145942128034183,0.9006171631438173,60951614.19822849,0.17295119217337074
4.1392001328562165,1.3435871138396474,3.9217356235359278,2.7172117136706264,1.0261889819282375,1.8902719703702737,3.2867752198848454,0.18464901024924862,5.522140936902559,0.1814437343406049,9.646218532447238,0.5499439792760674,3.6859163882771315,0.12730856151153222,2.9894188558645194,1.3048819203869064,0.9233913794996432,1.781659222636023,0.007659673334582061,0.8800147831956798,46794663.67061525,0.18210374236513802
4.449078483552362,1.5984570499123951,3.6512119566124093,1.8150976326348873,0.8877953428855182,1.2996019477859537,1.5601772710393809,0.3917396282564992,7.365888202065789,0.11949186803508469,15.474894699897945,0.1939110464573234,3.790709996204967,0.11777052399642064,3.228812848989784,0.7393608288758202,2.0073017087386167,1.4614412171099025,0.008210337355285502,0.8598837001280569,35926130.44377863,0.1920025203064174
3.8294186453722285,1.0234225642642047,3.229292751877859,0.7207535266682603,0.7341333190790471,0.9397365909116254,1.5601772710393809,0.4173310253899092,7.910601122640464,0.14486033994354608,17.278843075273702,0.17535240243217584,3.867871135998658,0.11144504668681725,,,2.1623940421096357,0.6943260981138812,0.008800589338876121,0.8402131326258703,27582136.54123347,0.20273090900444124
5.53434302894018,1.3873323486674907,3.2930540508362314,3.607812268783097,0.549923607091495,0.947960293407172,1.5601772710393809,0.4173310253899092,7.408638044819364,0.12087239082573194,14.541531872624521,0.200217823210583,3.157675187167413,0.1739423145634687,,,1.0718133902975244,1.8478500248312102,0.009433275316230507,0.82099254600575,21176252.803563163,0.21438427178919947
4.759050054763706,0.8470157005784041,3.4768233343464447,2.0176510743953533,0.7187742890323591,0.6356015105687108,1.5601772710393809,0.4455179905283571,1.996211611647391,0.5368220773037764,7.346780735296198,5.173384801389696,3.6694684899300563,0.12923208745848816,,,1.0053209227873603,1.7288961002903116,0.010111445923139483,0.8022116465741255,16258276.842029903,0.22707207884426472
5.84459373833713,0.8111138894840213,3.909945727200291,3.8465487230328637,1.2108361561601424,0.5479282459591504,2.9724776202837226,0.11329662868253186,2.5549321864168784,0.296995020996491,3.787322364288557,1.087310584138465,3.8781618977976566,0.10960827611739275,,,1.2018648523440267,3.352857637975985,0.010838371109625294,0.7838603761143801,12482587.130960532,0.24092048750159356
1.6926014497590764,7.849648632022516,3.691128636098293,3.5117789423583288,1.164662278988125,0.30831253219462834,3.2867752198848454,0.1552477644810578,2.7187482557044476,0.3557785413426191,7.155951209475513,2.0044378317796356,3.9748134580869365,0.10313603791117867,,,1.171263427282197,3.1430460443424115,0.011617555906731,0.7659289065001159,9583848.628251582,0.2560754904275433
1.932457005739638,4.948154905091585,3.0324646985363968,1.1011604409591205,,,3.4439743153782905,0.18583175724529352,2.4237220497161545,0.2543447669481936,10.177920839976034,0.36431030639826784,4.264890373953048,0.08921354154223302,,,,,0.012452757326805218,0.7484076344316456,7358362.109445781,0.272706779165097
