xi,strickler,recking,keulegan
0.00666666666666667,0.92170187369325,79392004.7985972,0.164471705321744
0.00714594212803418,0.900617163143817,60951614.1982285,0.172951192173371
0.00765967333458206,0.88001478319568,46794663.6706153,0.182103742365138
0.0082103373552855,0.859883700128057,35926130.4437786,0.192002520306417
0.00880058933887612,0.84021313262587,27582136.5412335,0.202730909004441
0.00943327531623051,0.82099254600575,21176252.8035632,0.214384271789199
0.0101114459231395,0.802211646574126,16258276.8420299,0.227072078844265
0.0108383711096253,0.78386037611438,12482587.1309605,0.240920487501594
0.011617555906731,0.765928906500116,9583848.62825158,0.256075490427543
0.0124527573268052,0.748407634431646,7358362.10944578,0.272706779165097
0.0133480024787706,0.731287176292891,5649746.14050261,0.291012515017295
0.0143076079857227,0.714558363125936,4337945.1878592,0.311225259227805
0.0153362007984861,0.698212235720535,3330791.18272828,0.333619395946359
0.016438740505484,0.682240039815963,2557525.35687608,0.358520493403245
0.017620543246494,0.666633221412618,1963824.96795245,0.386317204011886
0.0188873073455955,0.651383422190882,1507985.32097373,0.41747652198803
0.0202451407869031,0.636482475034769,1157988.7055335,0.452563526413597
0.0217005906655671,0.621922399657987,889254.214858219,0.49226718257018
0.0232606747560452,0.607695398330049,682910.275772248,0.53743442314797
0.0249329153498587,0.593793851700151,524468.462655217,0.58911569129415
0.0267253755259898,0.580210314716589,402805.376586073,0.648626572266825
0.0286466980288056,0.56693751263952,309381.026035218,0.717632352731556
0.0307061469409674,0.553968337144931,237638.769991717,0.798265799954438
0.03291365235226,0.541295842517738,182544.646954884,0.893293958280133
0.035279858239723,0.52891324193197,140233.71094717,1.0063587427844
0.0378161737899465,0.516813903816043,107738.517367165,1.14233114797295
0.0405348284109961,0.504991348301189,82780.6758439813,1.30784479590327
0.0434489306992162,0.493439243751121,63610.8201917857,1.51212063230117
0.046572531645235,0.482151403371092,48885.7487129797,1.76827957779995
0.0499206923839335,0.471121781894521,37574.1006863945,2.09550330714578
0.0535095568150478,0.46034447234542,28883.9405550387,2.52273254040829
0.0573564294445633,0.449813702874874,22207.1610845869,3.0952932027222
0.0614798588222288,0.439523833669898,17076.7988347064,3.88743345796127
0.0658997269775039,0.429469353933003,13134.2627623001,5.02766612089871
0.0706373452851744,0.419644878930858,10104.1734478835,6.75437830335617
0.0757155572228737,0.410045147110466,7775.04527409863,9.55135896801727
0.0811588485159774,0.400665017281305,5984.45448319005,14.5275930733922
0.0869934652009601,0.391499465861941,4607.65125915378,24.7131622780234
0.0932475401764825,0.382543584189616,3548.8159766969,51.0559302000987
0.099951228852403,0.37379257589139,2734.34554257644,161.269102098887
0.107136854550776,0.36524175431541,2107.69838342154,3250.71584471133
0.114839064359919,0.356886540020956,1625.43613247083,524.441729620585
0.123094996193036,0.348722458325887,1254.18413171326,90.9230536599973
0.131944457856904,0.340745136910204,968.297403877242,36.25528151534
0.141430118994042,0.332950303474432,748.068296279795,19.3579277363724
0.151597716823862,0.325333783451559,578.350037799243,12.0153298316388
0.162496276674815,0.317891497771329,447.499654374987,8.17742003685831
0.174178348370889,0.310619460675672,346.566109698626,5.92272289121234
0.186700259612242,0.303513777584106,268.666751655932,4.48658002108066
0.200122387571706,0.296570643007973,208.508361146265,3.51586615186482
0.214509450016716,0.289786338512393,162.019246720465,2.82921202102839
0.229930817360384,0.283157230724827,126.066618921028,2.32570020458528
0.246460847146335,0.276679769389212,98.2394595703754,1.94555134455674
0.264179242580099,0.270350485464596,76.6816937005335,1.65152614360104
0.283171436835793,0.264165989267275,59.9639979225309,1.4194457039203
0.30352900499113,0.258122968655429,46.9852864435322,1.2330570168325
0.325350105576962,0.252218187255288,36.8969947812946,1.08110794551848
0.348739953870417,0.246448482727867,29.044877466493,0.95560828754492
0.373811329213697,0.240810765075365,22.9242617295149,0.85075748395007
0.400685118804692,0.235302014986298,18.1456403778239,0.762262122836204
0.429490900581425,0.229919282218484,14.4082098394456,0.686889323792997
0.460367568010822,0.22465968401903,11.4795143934059,0.622167232762682
0.493463999794376,0.219520403580457,9.17978386730656,0.566179745887965
0.528939777719833,0.214498688532138,7.36987945184079,0.517423043519649
0.566965956120178,0.209591849466258,5.94201371600457,0.474703544171683
0.607725886650055,0.204797258497479,4.81260402938125,0.43706415481152
0.651416102356433,0.200112347855566,3.91676694145909,0.403730193013071
0.6982472653063,0.195534608510202,3.20407502308405,0.374069204896895
0.748445182340543,0.19106158882726,2.6352852203001,0.347560743019025
0.802251893851726,0.186690893255822,2.17981503241941,0.323773379502768
0.859926840835539,0.182420181045222,1.81379450864628,0.302347040468506
0.921748115843103,0.178247164991451,1.5185617735855,0.282979299123298
0.988013803865906,0.174169610212222,1.27950031580204,0.265414645217358
1.0590434196187,0.170185332950077,1.08513973586149,0.249436014517125
1.1351794481506,0.166292199402857,0.926459687287529,0.234858050228569
1.2167889962127,0.162488124580932,0.796350612392139,0.221521703165308
1.30426556234471,0.158771071190576,0.68919554027662,0.209289875106909
1.39803093421549,0.155139048542881,0.600545417959324,0.198043881222893
1.49853722236582,0.151590111487633,0.526866757165583,0.187680560189338
1.60626904015968,0.148122359371577,0.46534523642029,0.178109899933189
1.72174584045512,0.144733935020507,0.413732636933449,0.169253076479052
1.84552442026138,0.141423023744652,0.370227369714588,0.161040825749856
1.97820160545925,0.138187852366804,0.333381068932174,0.153412085251669
2.12041712852941,0.135026688272685,0.302025435341769,0.146312855701839
2.27285671316454,0.131937838483034,0.275214830936992,0.139695242820606
2.43625538063817,0.128919648746926,0.252181142006593,0.133516647421216
2.61140099387284,0.125970502655824,0.232298211846603,0.127739078136467
2.79913805629594,0.123088820777907,0.215053749802656,0.122328566009437
3.00037178380033,0.12027305981219,0.200027091119844,0.117254664052146
3.21607246944358,0.117521711762009,0.186871543811225,0.112490017964655
3.44728016193117,0.114833303127396,0.175300338703271,0.108009996681003
3.69510968044207,0.112206394115945,0.165075415667189,0.103792373399399
3.96075598997669,0.109639577871718,0.155998447189077,0.0998170493639088
4.24549996314572,0.107131479721798,0.147903630952251,0.0960658139723144
4.55071455618159,0.104680756440077,0.14065188454098,0.0925221358511553
4.87787142895146,0.102286095527877,0.134126154308701,0.0891709804122372
5.22854804089179,0.0999462145110409,0.128227611962151,0.0859986501228695
5.60443525707888,0.0976598602530934,0.122872560413349,0.0829926443146188
6.00734550111001,0.0954258082841161,0.117989907969488,0.080141535846126
6.4392214941058,0.0932428621449767,0.113519099304606,0.0774348623434552
6.90214562197108,0.0911098527465584,0.109408414695008,0.0748630300816197
7.39834997608048,0.0890256377436475,0.105613567103121,0.0724172288555623
7.93022711580213,0.0869891009231439,0.102096540946942,0.0700893564277525
8.50034160475342,0.0849991516062672,0.0988246276366945,0.0678719513406721
9.11144237641337,0.0830547240644372,0.0957696218506852,0.0657581330522558
9.76647598871523,0.0811547769485171,0.0929071495676402,0.0637415484961189
10.4686008315292,0.0792982927311131,0.0902161044690433,0.0618163242904608
11.2212023555397,0.0774842771616317,0.0876781737814326,0.0599770239234387
12.0279093959471,0.0757117587338036,0.0852774381864971,0.0582186093314729
12.8926116697015,0.0739797881653875,0.0830000332750595,0.0565364063628163
13.8194785306358,0.072287437889777,0.0808338623075393,0.0549260736837775
14.8129790729302,0.0706338015592369,0.0787683518844128,0.0533835747409173
15.8779036798411,0.0690179935595038,0.0767942436167853,0.0519051524407195
17.0193871215968,0.06743914853549,0.0749034160913853,0.0504873062498448
18.2429333138311,0.0658964209278382,0.0730887324028067,0.0491267714550719
19.5544418559336,0.0643889845200769,0.0713439093235359,0.0478205003532455
20.9602364772767,0.0629160319961358,0.0696634048347308,0.0465656451686694
22.4670955284795,0.0614767745079831,0.0680423212761288,0.0453595425189897
24.0822846647295,0.0600704412531536,0.0664763218142617,0.0441996992712016
25.8135918787504,0.0586962790619406,0.0649615582923241,0.0430837796474066
27.6693650523365,0.0573535519940323,0.063494608826854,0.0420095934556909
29.6585522075172,0.0560415409443743,0.0620724237673737,0.0409750853353085
31.7907446514298,0.0547595432580492,0.0606922788445185,0.0399783249174812
34.0762232229344,0.0535068723539653,0.0593517345073988,0.0390174978137975
36.5260078639596,0.0522828573571549,0.0580486005980411,0.0380908973536029
