Number,W,D,S,Q,U,xi,U/u,H,H/W,F,R,R*,,,f,(8/f)^0.5
106.00,,,,0.00,0.42,2.40,6.51,0.02,0.23,0.92,6.77,586.00,0.03,0.00,0.18876784151052,6.51
107.00,,,,0.00,0.54,2.91,7.53,0.03,0.30,1.06,10.03,646.00,0.04,0.00,0.141091234883397,7.53
108.00,,,0.03,0.00,0.27,1.22,4.66,0.01,0.11,0.81,2.45,512.00,0.02,0.00,0.368398754812209,4.66
109.00,,,,0.00,0.40,1.60,6.07,0.02,0.15,1.05,4.60,586.00,0.03,0.00,0.217126386555534,6.07
110.00,,,,0.00,0.42,2.02,5.69,0.02,0.19,0.99,5.78,658.00,0.04,0.00,0.247095851569522,5.69
111.00,,,,0.00,0.48,2.18,6.27,0.02,0.21,1.09,7.04,683.00,0.04,0.00,0.203495544719418,6.27
112.00,,,,0.00,0.59,2.74,6.93,0.03,0.27,1.20,10.37,766.00,0.05,0.00,0.16658025316034,6.93
113.00,,,0.05,0.00,0.58,2.70,5.31,0.03,0.26,1.19,9.89,983.00,0.08,0.00,0.283727182128025,5.31
114.00,,,,0.00,0.63,2.88,5.59,0.03,0.28,1.25,11.25,1.02,0.09,0.00,0.256015565746397,5.59
115.00,,,,0.00,0.65,3.18,5.49,0.03,0.31,1.23,12.38,1.07,0.10,0.00,0.265427122006894,5.49
116.00,,,,0.00,0.37,1.49,4.52,0.01,0.14,1.01,3.96,729.00,0.05,0.00,0.391573341686898,4.52
117.00,,,,0.00,0.45,1.66,5.28,0.02,0.16,1.18,5.37,770.00,0.05,0.00,0.286960514233242,5.28
118.00,,,,0.00,0.52,1.85,5.71,0.02,0.18,1.28,6.70,813.00,0.06,0.00,0.245367913851325,5.71
119.00,,,,0.00,0.53,2.17,5.46,0.02,0.21,1.22,7.79,880.00,0.07,0.00,0.268351916703565,5.46
